Date,Dollars_Per_Gallon,Gasoline_Consumption(Millions of Gallons),Year,Month
2007-10-01,2.853,12025.356,2007,October
2007-11-01,3.128,11628.792,2007,November
2007-12-01,3.07,12044.634,2007,December
2008-01-01,3.095,11470.452,2008,January
2008-02-01,3.078,10799.04,2008,February
2008-03-01,3.293,11804.226,2008,March
2008-04-01,3.507,11481.414,2008,April
2008-05-01,3.815,12044.928,2008,May
2008-06-01,4.105,11478.222,2008,June
2008-07-01,4.114,11913.006,2008,July
2008-08-01,3.833,11892.762,2008,August
2008-09-01,3.756,10706.472,2008,September
2008-10-01,3.112,11749.542,2008,October
2008-11-01,2.208,11218.83,2008,November
2008-12-01,1.745,11623.416,2008,December
2009-01-01,1.84,11227.062,2009,January
2009-02-01,1.975,10391.724,2009,February
2009-03-01,2.011,11591.37,2009,March
2009-04-01,2.102,11376.666,2009,April
2009-05-01,2.316,11827.326,2009,May
2009-06-01,2.681,11566.59,2009,June
2009-07-01,2.582,12057.066,2009,July
2009-08-01,2.67,12101.838,2009,August
2009-09-01,2.609,11227.356,2009,September
2009-10-01,2.605,11700.234,2009,October
2009-11-01,2.706,11221.098,2009,November
2009-12-01,2.663,11628.372,2009,December
2010-01-01,2.769,11092.452,2010,January
2010-02-01,2.699,10089.324,2010,February
2010-03-01,2.824,11448.276,2010,March
2010-04-01,2.9,11475.828,2010,April
2010-05-01,2.89,11929.554,2010,May
2010-06-01,2.785,11731.818,2010,June
2010-07-01,2.782,12109.734,2010,July
2010-08-01,2.783,12050.556,2010,August
2010-09-01,2.757,11481.456,2010,September
2010-10-01,2.853,11738.328,2010,October
2010-11-01,2.913,11108.076,2010,November
2010-12-01,3.048,11601.912,2010,December
2011-01-01,3.148,10897.95,2011,January
2011-02-01,3.264,10118.346,2011,February
2011-03-01,3.615,11455.836,2011,March
2011-04-01,3.852,11083.296,2011,April
2011-05-01,3.96,11480.07,2011,May
2011-06-01,3.735,11424.462,2011,June
2011-07-01,3.705,11758.656,2011,July
2011-08-01,3.696,11620.728,2011,August
2011-09-01,3.667,11017.314,2011,September
2011-10-01,3.506,11260.452,2011,October
2011-11-01,3.443,10756.788,2011,November
2011-12-01,3.326,11305.77,2011,December
2012-01-01,3.44,10663.926,2012,January
2012-02-01,3.64,10472.07,2012,February
2012-03-01,3.907,11173.848,2012,March
2012-04-01,3.958,11013.072,2012,April
2012-05-01,3.791,11690.91,2012,May
2012-06-01,3.596,11334.372,2012,June
2012-07-01,3.498,11470.998,2012,July
2012-08-01,3.78,11918.298,2012,August
2012-09-01,3.91,10786.65,2012,September
2012-10-01,3.812,11328.366,2012,October
2012-11-01,3.521,10688.076,2012,November
2012-12-01,3.381,10922.31,2012,December
2013-01-01,3.391,10847.088,2013,January
2013-02-01,3.736,9872.94,2013,February
2013-03-01,3.779,11249.994,2013,March
2013-04-01,3.638,11157.762,2013,April
2013-05-01,3.675,11761.512,2013,May
2013-06-01,3.689,11437.692,2013,June
2013-07-01,3.661,11908.26,2013,July
2013-08-01,3.645,11879.742,2013,August
2013-09-01,3.604,11272.548,2013,September
2013-10-01,3.42,11644.962,2013,October
2013-11-01,3.322,11242.728,2013,November
2013-12-01,3.357,11287.71,2013,December
2014-01-01,3.392,10772.034,2014,January
2014-02-01,3.434,10168.536,2014,February
2014-03-01,3.606,11323.074,2014,March
2014-04-01,3.735,11283.468,2014,April
2014-05-01,3.75,11747.694,2014,May
2014-06-01,3.766,11389.602,2014,June
2014-07-01,3.688,12041.778,2014,July
2014-08-01,3.565,12123.006,2014,August
2014-09-01,3.484,11115.216,2014,September
2014-10-01,3.255,11910.57,2014,October
2014-11-01,2.997,11240.67,2014,November
2014-12-01,2.632,11640.888,2014,December
2015-01-01,2.208,11248.104,2015,January
2015-02-01,2.301,10382.4,2015,February
2015-03-01,2.546,11791.626,2015,March
2015-04-01,2.555,11578.728,2015,April
2015-05-01,2.802,12059.712,2015,May
2015-06-01,2.885,11865.504,2015,June
2015-07-01,2.88,12330.318,2015,July
2015-08-01,2.726,12317.046,2015,August
2015-09-01,2.462,11703.636,2015,September
2015-10-01,2.387,12036.57,2015,October
2015-11-01,2.26,11480.658,2015,November
2015-12-01,2.144,11910.15,2015,December
2016-01-01,2.057,11266.584,2016,January
2016-02-01,1.872,11231.514,2016,February
2016-03-01,2.071,12203.856,2016,March
2016-04-01,2.216,11561.172,2016,April
2016-05-01,2.371,12260.808,2016,May
2016-06-01,2.467,12105.996,2016,June
2016-07-01,2.345,12470.01,2016,July
2016-08-01,2.284,12612.6,2016,August
2016-09-01,2.327,11949.504,2016,September
2016-10-01,2.359,11839.506,2016,October
2016-11-01,2.295,11633.874,2016,November
2016-12-01,2.366,12086.718,2016,December
2017-01-01,2.458,11075.736,2017,January
2017-02-01,2.416,10593.114,2017,February
2017-03-01,2.437,12141.486,2017,March
2017-04-01,2.528,11711.91,2017,April
2017-05-01,2.503,12433.848,2017,May
2017-06-01,2.46,12313.056,2017,June
2017-07-01,2.414,12492.984,2017,July
2017-08-01,2.494,12696.726,2017,August
2017-09-01,2.761,11815.734,2017,September
2017-10-01,2.621,12182.982,2017,October
2017-11-01,2.678,11479.188,2017,November
2017-12-01,2.594,12039.006,2017,December
2018-01-01,2.671,11441.43,2018,January
2018-02-01,2.705,10344.264,2018,February
2018-03-01,2.709,12322.842,2018,March
2018-04-01,2.873,11599.518,2018,April
2018-05-01,2.987,12388.866,2018,May
2018-06-01,2.97,12344.262,2018,June
2018-07-01,2.928,12551.784,2018,July
2018-08-01,2.914,12731.166,2018,August
2018-09-01,2.915,11532.234,2018,September
2018-10-01,2.943,12100.578,2018,October
2018-11-01,2.736,11705.904,2018,November
2018-12-01,2.457,11950.47,2018,December
2019-01-01,2.338,11429.46,2019,January
2019-02-01,2.393,10668.462,2019,February
2019-03-01,2.594,11957.652,2019,March
2019-04-01,2.881,11857.356,2019,April
2019-05-01,2.946,12365.64,2019,May
2019-06-01,2.804,12226.158,2019,June
2019-07-01,2.823,12411.924,2019,July
2019-08-01,2.707,12803.448,2019,August
2019-09-01,2.681,11588.85,2019,September
2019-10-01,2.724,12119.268,2019,October
2019-11-01,2.693,11603.424,2019,November
2019-12-01,2.645,11680.536,2019,December
2020-01-01,2.636,11358.06,2020,January
2020-02-01,2.533,11023.446,2020,February
2020-03-01,2.329,10128.258,2020,March
2020-04-01,1.938,7390.866,2020,April
2020-05-01,1.961,9371.796,2020,May
2020-06-01,2.17,10447.332,2020,June
2020-07-01,2.272,11015.298,2020,July
2020-08-01,2.272,11098.374,2020,August
2020-09-01,2.274,10761.786,2020,September
2020-10-01,2.248,10827.978,2020,October
2020-11-01,2.2,10081.722,2020,November
2020-12-01,2.284,10227.756,2020,December
2021-01-01,2.42,10055.766,2021,January
2021-02-01,2.587,9200.52,2021,February
2021-03-01,2.898,11136.216,2021,March
2021-04-01,2.948,11137.602,2021,April
2021-05-01,3.076,11823.168,2021,May
2021-06-01,3.157,11795.7,2021,June
2021-07-01,3.231,12104.778,2021,July
2021-08-01,3.255,11955.384,2021,August
2021-09-01,3.272,11254.908,2021,September
2021-10-01,3.384,11753.07,2021,October
2021-11-01,3.491,11366.544,2021,November
2021-12-01,3.406,11561.004,2021,December
2022-01-01,3.413,10496.556,2022,January
2022-02-01,3.611,10172.61,2022,February
2022-03-01,4.322,11724.678,2022,March
2022-04-01,4.213,11086.404,2022,April
2022-05-01,4.545,11873.064,2022,May
2022-06-01,5.032,11434.626,2022,June
2022-07-01,4.668,11472.636,2022,July
2022-08-01,4.087,11868.192,2022,August
2022-09-01,3.817,11146.758,2022,September
2022-10-01,3.935,11466.462,2022,October
2022-11-01,3.799,11121.81,2022,November
2022-12-01,3.324,11191.866,2022,December
2023-01-01,3.445,10794.924,2023,January
2023-02-01,3.501,10225.194,2023,February
2023-03-01,3.535,11818.17,2023,March
2023-04-01,3.711,11269.524,2023,April
2023-05-01,3.666,11821.992,2023,May
2023-06-01,3.684,11800.824,2023,June
2023-07-01,3.712,11690.658,2023,July
2023-08-01,3.954,12036.318,2023,August
2023-09-01,3.958,11142.306,2023,September
2023-10-01,3.742,11847.99,2023,October
2023-11-01,3.443,11226.39,2023,November
2023-12-01,3.257,11452.224,2023,December
2024-01-01,3.197,10794.042,2024,January
2024-02-01,3.328,10546.872,2024,February
2024-03-01,3.542,11636.058,2024,March
2024-04-01,3.733,11175.276,2024,April
2024-05-01,3.725,12226.998,2024,May
2024-06-01,3.576,11591.244,2024,June
2024-07-01,3.6,12131.574,2024,July
2024-08-01,3.507,12052.782,2024,August
2024-09-01,3.338,11319.042,2024,September
2024-10-01,3.261,11808.93,2024,October
2024-11-01,3.175,11128.74,2024,November
2024-12-01,3.139,11421.942,2024,December
